product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g
3329770086159,Panier de Yoplait - Aux bons morceaux de fruits - Fruits jaunes,Yoplait,90.0,378.0,13.0,12.4,2.3,1.5,3.3,,0.13,0.052,3.0,4.0,48.9272321428571
5059697266027,Rosemary crackers,Tesco,29.0,,3.4,0.2,1.4,0.4,0.6,0.2,0.05,0.02,16.0,4.0,24.762
5060811384466,Oreo White Riegel,Grenade,387.0,1619.0,33.0,2.1,17.0,9.6,34.0,1.5,0.63,0.252,,4.0,0.0
8690536855100,,,,,,,,,,,,,,,
5000174003451,,Old Spice,,,,,,,,,,,,,
4337256571845,Kakao Drink,Ja,66.0,279.0,8.7,8.5,1.8,1.1,3.6,,0.12,0.048,,4.0,0.0
0604565083791,Avocado oil mayonnaise,Hunter & Gather,745.0,,0.5,0.5,83.0,14.5,1.5,0.0,0.00225,0.0009,19.0,3.0,0.0
3329770086319,Panier de Yoplait,Yoplait,45.0,,5.9,5.6,0.5,0.1,4.4,,0.17,0.068,-1.0,4.0,40.5
7394376621277,Latte avena senza zucchero,Oatly,44.0,185.0,6.3,0.0,1.5,0.2,1.0,0.7,0.12,0.048,3.0,4.0,5.0
6111214003726,Chips,,492.77,,56.1,1.71,26.0,12.07,6.92,5.6,0.3763,0.15052,14.0,,
6111250471329,Dost brassé fraise,Dost,106.0,,14.0,,,,2.0,,,,,,
7649989242426,Prime blue,PRIME,4.0,,1.0,0.5,0.0,0.0,0.0,0.0,0.02,0.008,0.0,4.0,22.5
7622201756697,Oreo,Cadbury,483.0,,71.9,38.8,19.6,9.7,,,0.42,0.168,,4.0,0.0
5900951312250,Twix Xtra,Twix,493.0,,65.0,48.0,24.0,14.0,4.6,,0.3825,0.153,30.0,4.0,0.0
0745760392988,,,,0.0,,,,,,,0.0992,0.03968,,,0.0
8052575092098,Mini tartelettes,Rigoni di Asiago,492.0,2060.0,60.0,25.0,24.0,6.1,8.5,3.8,0.4,0.16,19.0,4.0,14.0
8402001017698,,Hacendado,,,,,,,,,,,,,0.0
5901713023780,Tomato Ketchup,Dawtona,107.0,453.0,22.0,22.0,0.5,0.1,1.7,0.0,1.6,0.64,12.0,3.0,62.0
5411188139560,Red berries plant protein alternative to yoghurt,Alpro,81.0,342.0,7.0,6.8,2.2,0.4,7.5,1.1,0.18,0.072,-1.0,4.0,13.825
6111246954614,beurre JIBAL 1kg,Jibal,743.0,,0.5,0.5,82.9,55.9,0.9,,0.075,0.03,20.0,,0.0
5060136255939,"Slow-roasted tomato, broccoli & spinach quiche",Higgidy,207.0,864.0,26.8,3.0,9.6,2.6,4.3,3.1,0.79,0.316,4.0,3.0,50.83125
4337256453776,Frischkäse,Rewe Bio,268.0,1105.0,3.0,3.0,26.0,17.0,5.4,,0.7,0.28,14.0,3.0,0.0
0764460733532,,,,,,,,,,,,,,,
3229820804118,Noisette sans sucres,Bjorg,51.0,,1.9,0.5,4.2,0.4,1.1,0.6,0.05,0.02,4.0,3.0,6.5
3175681292857,"Tofu cuisiné tomate, Mozzarella et basilic",Céréal Bio,200.0,832.0,6.2,1.9,12.0,2.4,14.0,5.6,0.9,0.36,0.0,3.0,12.6875
8000500426449,Crunchy Cookies,Kinder,531.0,,58.7,34.6,29.9,18.5,6.2,,0.37,0.148,27.0,4.0,0.0
6111266751866,FLocons d'avoine,Révey,360.0,,56.5,0.56,6.37,1.18,11.7,1.24,0.025,0.01,1.0,4.0,0.0
8000500417225,"Maple Syrup, Pecan & Penuts Protein Bar",Eat Natural,216.8,,14.4,5.2,15.0,2.3,7.28,2.2,0.0975,0.039,,4.0,59.0
8445291037809,Boisson pétillante saveur citron,Perrier,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
6111245344133,Kaiser,,246.0,,10.0,7.0,18.0,12.0,11.0,,6.25,2.5,,4.0,0.0
03457597,Medjool Dates,Tesco,280.0,1188.0,64.1,54.5,0.2,0.1,2.0,7.0,0.01,0.004,9.0,1.0,100.0
6111270960001,Lait crémeux,Nooco,526.0,2204.0,59.0,58.0,29.0,17.0,6.3,1.8,0.4,0.16,32.0,4.0,0.0
6111266961364,yaourt à boire sans lactose,Jaouda,64.0,268.0,,0.0,3.5,2.5,3.2,,0.0,0.0,0.0,1.0,0.0
40329215,monte carlo,JTI,,,,,,,,,,,,,0.0
6111035503092,,,,,,,,,,,,,0.0,1.0,
6111242665996,fromage edam irish portion,,,,,,,,,,,,,,
6111250476874,,,900.0,3700.0,0.0,0.0,100.0,13.1,0.0,0.0,0.0,0.0,5.0,2.0,0.0
0144432001003,,,95.0,,14.3,8.0,2.7,1.8,3.4,,0.25,0.1,,,0.0
3116430210388,Biscuits Delacre Cigarettes Russes - 200g,"Delacre, Ferrero",547.0,2285.0,63.8,36.4,30.4,22.8,3.8,,0.27,0.108,27.0,4.0,0.0
8076808140325,Pâtes coquillettes 500g,Barilla,359.0,1521.0,71.0,3.5,2.0,0.5,13.0,3.0,0.01,0.004,0.0,1.0,0.0
8412600029343,Pan de molde 100% natural integral,Bimbo,250.0,,42.0,5.8,3.2,0.1,11.0,6.1,0.265,0.106,-2.0,4.0,1.8
3228023080015,PRESIDENT BUCHE FONDANTE CHEVRE FORMAT FAMILIAL 250g,President,288.0,1194.0,0.5,0.5,24.0,17.0,18.0,0.0,1.5,0.6,13.0,3.0,0.0
3270160812936,"Poulet au curry et au lait de coco, duo de riz",Picard,131.0,553.0,16.0,1.6,4.4,2.5,6.7,0.7,0.5,0.2,3.0,4.0,19.2177659254808
3760020503802,Muesli aux Graines Gourmandes,"Jardin bio, Léa Nature",373.0,1566.0,56.0,9.5,9.2,1.3,10.0,13.0,0.03,0.012,-2.0,3.0,14.46875
20250447,Pâte feuilletée pur beurre,"Crusti Frais, Toque du Chef",391.0,,43.3,2.0,20.0,14.0,6.3,,0.83,0.332,18.0,3.0,0.415
3245413922403,Vitality* Sésame,"Agir Carrefour, Carrefour, Carrefour City",488.0,2046.0,61.0,17.0,21.0,2.1,10.0,4.8,0.51,0.204,12.0,4.0,13.75
3564707093590,Petits pains grillés,"Bio Village, Marque Repère",400.0,1688.0,69.0,4.0,7.9,0.9,11.0,4.4,1.1,0.44,9.0,4.0,0.0
3256220450140,Muesli croustillant 3 chocolats,U,453.0,1899.0,62.0,24.0,17.0,4.8,9.1,7.6,0.28,0.112,11.0,4.0,0.0
3228022000243,Beurre Tendre Doux,Président,745.0,,1.0,1.0,82.0,57.0,0.7,,0.03,0.012,20.0,2.0,0.0
3229820112015,BORG RIZ COMPLET,Bjorg,37.0,,8.0,4.0,0.6,0.1,0.5,,0.08,0.032,6.0,3.0,0.0
3111900350687,Muesli croustillant,FAVRICHON,456.0,1911.0,58.0,17.0,18.0,2.1,11.0,7.4,0.01,0.004,7.0,3.0,6.3
3123340003054,LE PUR JUS Multifruits,Joker,48.0,204.0,11.0,9.8,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,99.6527777777778
3256220280051,Biscottes au froment germe de blé 300g,"U, U Bio",396.0,1674.0,74.0,5.0,5.2,0.6,11.0,4.6,1.3,0.52,9.0,4.0,0.0
3564700014714,Coulommiers,"Marque Repère, Les Croisés, Scamark (Filiale E. Leclerc)",283.0,1174.0,1.0,0.5,23.0,16.0,18.0,0.0,1.5,0.6,13.0,3.0,0.0
3560070379736,Crackers Emmental & pipas de calabaza,Carrefour BIO,429.0,1797.0,51.0,1.7,15.0,2.9,17.0,13.0,1.4,0.56,8.0,3.0,14.5
