product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g
3564700816479,Wrap,Epi d'Or,328.0,1383.0,55.0,3.2,7.3,0.9,9.4,2.3,0.9,0.36,,4.0,7.2
4088600132334,Dark Chocolate,Moser Roth,604.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,16.0,0.0
5059319029702,Rice Krispies,Kellogg's,338.591459528361,1665.66666666667,86.6666666666667,8.0,1.33333333333333,0.333333333333333,7.0,3.0,0.9825,0.393,,10.0,0.0
3560071013042,Muesly croustillant cruchy chocolat noir intense,Carrefour,441.0,1851.0,62.0,19.0,15.0,3.8,10.0,9.0,0.1,0.04,,4.0,0.0
5060482841565,Nutty Granola,deliciously ella,465.0,1947.0,61.0,16.0,18.0,2.6,12.0,8.2,0.22,0.088,,3.0,33.0
3302747233022,Le Moelleux -25% de Sel,Fleury Michon,111.0,467.0,10.0,2.4,4.5,0.4,7.7,2.5,1.2,0.48,,4.0,2.88461538461539
3564700740699,Yaourts à la Grecque,"Délisse, Marque Repère",112.810707456979,472.0,2.8,2.8,10.0,6.5,3.2,0.0,0.1,0.04,,4.0,0.0
3329770073296,Skyr sur lit au citron,Yoplait,82.0,348.0,11.7,11.1,0.5,0.1,7.8,2.5,0.13,0.052,,4.0,2.95
6132004000022,La Belle Margarine 500g,LA BELLE 220da,752.0,3089.7,0.8,0.8,83.0,30.0,0.3,0.0,0.5,0.2,,4.0,0.0
3083681117158,Poêlée du marché,Bonduelle,50.0,225.0,4.2,2.7,2.2,0.3,2.7,3.3,0.53,0.212,,3.0,0.2653808593749965
3250391738229,Cookies aux pepites de chocolat bio,"Chabrior,Chabrior Bio,Intermarché,Biscuiterie de l'Abbaye",498.6,2086.0,60.0,33.0,25.0,7.2,6.2,4.4,0.42,0.168,,4.0,10.195
3270160113040,Gratin d'aubergines,Picard,136.0,567.0,8.6,2.7,9.2,2.0,4.2,1.2,0.32,0.128,,3.0,87.162890625
3560070465491,Moutarde à l'ancienne,Carrefour,139.0,576.0,2.3,1.6,10.0,0.9,7.2,5.6,4.8,1.92,,4.0,0.0
3760192498531,Coco nature,YA,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,3.0,98.0
3256220321372,Café soluble Chicorée - 250g,U,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,1.0,60.0
3564707111546,Crackers Épeautres 3 Graines,"Bio Village, Marque Repère",460.0,1922.0,48.0,2.3,21.0,2.9,15.0,9.3,1.9,0.76,,3.0,3.6
8002352302001,amandino,damiano,633.0,2620.4,8.5,2.0,53.8,4.6,24.5,8.6,0.01,0.004,,1.0,100.0
