product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
8595229900504,Müsli oat biscuits,Emco,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,13.3333333333333,9.2,0.25943396226415094,Low,Low Sugar,No
6111017042427,Chocolat Tentation Noir Gourmand Amandes,Aiguebelle,543.0,2260.3,40.4,36.8,38.3,18.0,9.2,2.5,2e-06,8e-07,,4.0,20.0,0.9108910891089108,High,Moderate Sugar,Yes
3174061039129,Confiture de myrtille 70%,Léonce Blanc,173.0,736.6,40.0,37.0,0.5,0.1,0.5,3.7,0.02,0.008,,4.0,75.0,0.925,Low,Moderate Sugar,Yes
6111265980243,,,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,4.0,0.2653808593749965,0.25943396226415094,Low,Low Sugar,Yes
3760121219749,Noir 70 %,Biocoop,565.0,2353.3,33.0,29.0,42.0,27.0,7.9,13.0,0.1,0.04,,3.0,0.0,0.8787878787878788,High,Moderate Sugar,No
3366321055516,l'original,St Hubert,477.0,1961.0,0.0,0.0,53.0,26.0,0.0,0.0,0.42,0.168,,4.0,0.0,0.0,Moderate,Low Sugar,Yes
6111259347625,pickers crunchy,,523.809523809524,2190.47619047619,61.9047619047619,47.6190476190476,28.5714285714286,16.6666666666667,4.76190476190476,0.0,0.238095238095238,0.0952380952380952,,19.047619047619,0.184461805555557,0.7692307692307689,High,High Sugar,No
3175681060524,Sablés sarrasin miel saveur citron,céréal bio,472.0,1979.0,67.0,17.0,18.0,1.9,7.9,5.0,0.34,0.136,,4.0,0.2653808593749965,0.2537313432835821,Moderate,Low Sugar,Yes
3036811460259,Velouté de légumes,Liebig,30.0,124.1,2.8,1.4,1.4,0.8,0.7,1.6,0.64,0.256,,3.0,45.9,0.5,Low,Low Sugar,No
3124480186850,schweppes Indian tonic,scweppes,19.0,82.0,5.8,5.8,0.0,0.0,0.0,2.5,0.0,0.0,,4.0,0.0,1.0,Low,Low Sugar,Yes
4056489007166,Pain de mie extra-moelleux nature,tastino,336.0,1198.4,51.2,3.6,4.4,0.4,8.4,2.8,0.9,0.36,,16.0,0.45,0.0703125,Moderate,Low Sugar,No
3168930158158,Cruesli miel et noisettes,"Cruesli, QUAKER",460.0,1922.0,63.0,15.0,18.0,1.8,7.5,9.4,0.06,0.024,,4.0,5.0,0.23809523809523808,Moderate,Low Sugar,Yes
3256220512985,Tablette de chocolat noir 100g,"U, U Bio",572.0,2374.0,35.0,26.0,41.0,28.0,8.8,14.0,0.03,0.012,,4.0,0.2653808593749965,0.7428571428571429,High,Moderate Sugar,Yes
8712100872273,Maille Moutarde Fine De Dijon L'Originale Verrine 165g,Maille,144.0,600.0,2.6,2.0,10.0,0.7,7.6,3.9,4.9,1.96,,3.0,0.0,0.7692307692307692,Low,Low Sugar,No
